ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก (4 ล้อ),รถบรรทุกขนาด 2 เพลา (6ล้อ),รถบรรทุกขนาด 3 เพลา (10ล้อ),รถบรรทุกพ่วง (มากกว่า 3 เพลา),รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,% ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,126153,29442,1792,3421,9755,46176,7338,3285,1035,892,229288,11.219,195,14610,ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,98341,44447,4115,6928,12394,59666,19822,4133,2709,1656,254211,18.741,156,16767,ปทุมธานี,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,67+300,40509,24475,10040,2734,3697,19828,18700,12246,12463,11132,155824,39.128,0,1834,อยุธยา,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,60+800,35906,30854,9031,3212,4112,9772,8562,9692,8332,8285,127756,33.027,0,1815,อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,32952,27513,1098,1373,3425,38224,6719,9668,10004,9362,140337,28.895,64,3912,สระบุรี,สระบุรี
1,102,แยกคปอ. - สนามกีฬาธูปะเตมีย์,25+556,25413,9719,71,527,1135,10390,523,103,77,159,48116,5.243,44,10283,กรุงเทพ,กรุงเทพมหานคร
1,1104,เกาะคา - สามัคคี,697+942,22178,22031,737,649,823,10917,1896,2018,1409,1328,63987,12.696,449,11681,ลำปางที่ 1,ลำปาง
1,1301,แม่กา - แยกประตูชัย,836+967,17916,5295,108,22,65,17685,643,376,590,271,42972,4.577,81,5230,พะเยา,พะเยา
1,802,บ้านหว้า - วังไผ่,341+076,13313,10608,654,1109,1108,14378,1351,1335,1395,1387,46638,16.476,74,9960,นครสวรรค์ที่ 1,นครสวรรค์
1,1104,เกาะคา - สามัคคี,701+817,12794,12230,474,401,400,8567,870,709,596,645,37686,9.61,247,8213,ลำปางที่ 1,ลำปาง
1,902,ปากดง - นครชุม,457+876,11898,4705,34,26,111,6989,2850,3197,4615,5253,39678,40.454,83,5328,กำแพงเพชร,กำแพงเพชร
1,1401,พาน - ร่องขุ่น,909+967,11502,1405,110,47,105,4061,799,393,322,231,18975,9.998,35,2411,เชียงรายที่ 1,เชียงราย
1,801,หางน้ำหนองแขม - บ้านหว้า,306+776,11302,12535,0,75,493,18438,2146,2540,2535,2575,52641,19.691,10,1102,นครสวรรค์ที่ 1,นครสวรรค์
1,1403,แยกแม่กรณ์ - ห้วยพลู,930+617,10821,7996,276,128,170,10499,513,357,286,271,31318,5.507,56,9007,เชียงรายที่ 1,เชียงราย
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,10554,13252,2420,2437,2223,6842,4415,3900,7570,7084,60698,45.52,415,3564,สระบุรี,สระบุรี
1,1104,เกาะคา - สามัคคี,708+317,10197,9879,863,622,642,5955,1440,1447,1217,1123,33386,19.444,420,7518,ลำปางที่ 1,ลำปาง
1,802,บ้านหว้า - วังไผ่,331+276,9909,9507,0,1309,1450,16783,1538,1739,1725,1612,45572,20.568,34,8455,นครสวรรค์ที่ 1,นครสวรรค์
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,9651,5805,2466,2826,2288,7177,5193,4096,4718,4476,48695,48.457,128,6315,สระบุรี,สระบุรี
1,1403,แยกแม่กรณ์ - ห้วยพลู,942+167,9624,5932,266,242,262,10708,280,227,218,145,27905,4.924,75,6523,เชียงรายที่ 1,เชียงราย
1,901,โนนปอแดง - ปากดง,423+900,9439,7220,194,24,178,9229,1930,998,1584,1604,32401,19.499,16,995,กำแพงเพชร,กำแพงเพชร
1,1402,ร่องขุ่น - แยกแม่กรณ์,924+617,9229,9720,297,280,282,11903,1166,1136,1103,1171,36288,14.16,760,7610,เชียงรายที่ 1,เชียงราย
1,700,ดอนรังนก - หางน้ำหนองแขม,289+504,9035,2945,89,13,77,5213,708,424,738,235,19476,11.265,17,2028,ชัยนาท,ชัยนาท
1,1403,แยกแม่กรณ์ - ห้วยพลู,948+000,8744,4140,231,179,155,8696,956,731,653,504,24989,12.719,172,6023,เชียงรายที่ 1,เชียงราย
1,1102,ดอนไชย - สบปราบ,617+097,8481,2125,233,24,124,1612,1005,734,1244,971,16554,24.783,18,2049,ลำปางที่ 1,ลำปาง
1,1301,แม่กา - แยกประตูชัย,822+117,7922,2811,120,37,78,7950,812,815,813,899,22256,15.518,8,5482,พะเยา,พะเยา
1,503,แยกร.พ.อานันทมหิดล - เขาวงพระจันทร์,167+355,7678,2716,27,38,69,7492,339,154,268,112,18894,5.186,21,3279,ลพบุรีที่ 1,ลพบุรี
1,901,โนนปอแดง - ปากดง,390+276,7339,2308,99,55,151,8123,1119,959,1767,1978,23898,25.228,46,1463,กำแพงเพชร,กำแพงเพชร
1,803,วังไผ่ - โนนปอแดง,377+276,7313,3256,64,45,26,3627,1774,1939,1875,1201,21121,32.483,10,730,นครสวรรค์ที่ 1,นครสวรรค์
1,801,หางน้ำหนองแขม - บ้านหว้า,316+676,7082,6922,0,0,415,11191,2051,2064,2060,2042,33828,25.517,38,1096,นครสวรรค์ที่ 1,นครสวรรค์
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,6552,7783,2245,600,649,3103,2362,2225,2896,2032,30447,35.35,75,2485,ลพบุรีที่ 1,สระบุรี
1,901,โนนปอแดง - ปากดง,417+776,6186,2412,69,22,150,9265,1230,891,1409,1679,23311,23.081,15,1496,กำแพงเพชร,กำแพงเพชร
1,700,ดอนรังนก - หางน้ำหนองแขม,291+711,5704,3547,17,15,41,5841,624,362,648,247,17045,11.358,12,1045,ชัยนาท,ชัยนาท
1,1201,สามัคคี - บ้านหวด,720+367,4681,4862,1249,1050,878,3439,1227,1084,1036,1023,20529,30.676,489,4227,ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,784+017,4342,2196,641,592,868,2446,1544,1342,1364,1281,16616,42.072,309,3320,ลำปางที่ 2,ลำปาง
1,1405,แม่คำ - กลางสะพานแม่น้ำสาย(เขตแดนไทย/พม่า),975+777,4289,3240,66,192,93,5323,603,524,337,98,14765,12.508,56,3747,เชียงรายที่ 1,เชียงราย
1,903,นครชุม - วังเจ้า,486+779,4200,2620,32,48,69,7893,1078,759,858,1544,19100,22.806,3,973,กำแพงเพชร,กำแพงเพชร
1,803,วังไผ่ - โนนปอแดง,356+936,4139,2676,17,46,120,3833,1847,1617,1602,1434,17331,38.465,15,1607,นครสวรรค์ที่ 1,นครสวรรค์
1,1101,แม่เชียงรายบน - ดอนไชย,589+255,4114,3731,333,58,183,1522,1380,1198,1596,1896,16011,39.411,79,308,ลำปางที่ 1,ลำปาง
1,1103,สบปราบ - เกาะคา,688+017,3970,3246,365,203,136,2635,1320,1014,1171,1424,15485,34.024,11,1508,ลำปางที่ 1,ลำปาง
1,504,เขาวงพระจันทร์ - โรงเรียนยงค์สุรีย์,192+000,3624,2135,59,40,96,2492,565,266,337,212,9827,15.435,4,2286,ลพบุรีที่ 1,ลพบุรี
1,1003,วังม่วง - แม่เชียงรายบน,543+117,3622,3054,85,147,333,1382,1140,991,1240,1718,13712,40.621,38,923,ตากที่ 1,ตาก
1,1202,บ้านหวด - แม่กา,787+129,3595,3194,1287,782,883,2357,1474,1434,1325,1053,17386,39.986,414,3228,ลำปางที่ 2,ลำปาง
1,1001,วังเจ้า - ตาก,511+796,3511,2830,59,23,91,6211,1130,889,879,1781,17403,27.536,13,882,ตากที่ 1,ตาก
1,1302,แยกประตูชัย - พาน,867+967,3201,821,50,27,98,3766,506,318,308,310,9405,16.661,19,1313,พะเยา,พะเยา
1,700,ดอนรังนก - หางน้ำหนองแขม,267+758,2867,2547,1,1,11,1884,535,371,680,242,9139,20.132,2,1090,ชัยนาท,ชัยนาท
1,1202,บ้านหวด - แม่กา,790+517,2684,1797,930,772,795,3488,1173,1187,1144,1107,15076,40.977,452,2871,ลำปางที่ 2,ลำปาง
1,1201,สามัคคี - บ้านหวด,769+397,2574,1878,898,572,693,2326,849,818,837,817,12262,37.398,349,1578,ลำปางที่ 2,ลำปาง
1,1103,สบปราบ - เกาะคา,650+917,2465,1721,79,7,86,2561,708,588,734,815,9764,30.097,2,417,ลำปางที่ 1,ลำปาง
1,603,ตาคลี - ดอนรังนก,254+000,2339,1154,25,10,19,3828,137,107,200,77,7896,6.971,9,3112,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,602,เกษตรชัย - ตาคลี,235+000,1635,464,0,0,18,2416,174,168,194,59,5128,11.96,15,1046,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,601,ลำพยนต์ - เกษตรชัย,222+176,747,306,2,3,25,2491,208,188,609,196,4776,25.753,10,771,นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
2,301,นครราชสีมา - ดอนหวาย,148+657,59728,25440,1757,383,1401,39892,259,74,10,17,128963,1.663,20,27777,นครราชสีมาที่ 1,นครราชสีมา
2,205,โคกกรวด - นครราชสีมา,146+072,37102,32500,2637,2541,2382,6059,2334,2253,550,517,88877,11.903,14,15667,นครราชสีมาที่ 2,นครราชสีมา
2,502,ขอนแก่น - หินลาด,344+331,31603,24146,914,713,595,815,986,633,572,577,61553,6.62,234,6425,ขอนแก่นที่ 1,ขอนแก่น
2,102,ตาลเดี่ยว - ซับบอน,11+000,26741,25010,2043,3723,2949,15208,12930,13480,13562,14268,129915,46.887,255,3344,สระบุรี,สระบุรี
2,202,บ่อทอง - มอจะบก,87+438,20280,5601,303,190,465,7086,2820,3607,2911,5940,49202,32.382,13,1010,นครราชสีมาที่ 2,นครราชสีมา
2,103,ซับบอน - มวกเหล็ก,35+200,18962,13451,570,869,288,8643,3140,2947,2390,2626,53885,22.751,65,2239,สระบุรี,สระบุรี
2,102,ตาลเดี่ยว - ซับบอน,21+250,18789,20852,3180,2434,3326,13803,14886,14009,13440,13132,117851,51.953,121,4592,สระบุรี,สระบุรี
2,601,โนนสะอาด - อุดรธานี,443+084,17708,1064,531,193,137,9984,1035,584,521,940,32697,10.426,96,4475,อุดรธานีที่ 1,อุดรธานี
2,403,บ้านไผ่ - ท่าพระ,310+578,15635,6037,77,40,156,5709,1492,990,1074,1947,33157,17.188,24,2113,ขอนแก่นที่ 3 (บ้านไผ่),ขอนแก่น
2,501,ท่าพระ - ขอนแก่น,334+181,14398,13064,1696,45,1215,21278,828,603,461,436,54026,6.642,0,5917,ขอนแก่นที่ 1,ขอนแก่น
2,302,ดอนหวาย - บ้านวัด,204+357,12180,4185,77,75,220,10498,1640,1318,2277,1656,34127,21.06,14,565,นครราชสีมาที่ 1,นครราชสีมา
2,602,อุดรธานี - น้ำสวย,471+435,11701,9009,152,124,74,8328,1505,831,677,415,32817,11.053,24,4070,อุดรธานีที่ 1,อุดรธานี
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),498+256,11054,6245,2207,941,819,5956,3182,2824,2690,2053,37971,32.944,1185,4990,หนองคาย,หนองคาย
2,302,ดอนหวาย - บ้านวัด,193+612,10833,8143,2,71,247,13750,3156,3269,3201,3857,46528,29.66,3,1143,นครราชสีมาที่ 1,นครราชสีมา
2,201,มวกเหล็ก - บ่อทอง,45+600,10598,7584,1183,1492,778,10809,7774,7484,8230,8402,64333,53.099,0,1879,นครราชสีมาที่ 2,นครราชสีมา
2,602,อุดรธานี - น้ำสวย,458+935,10208,7051,436,268,279,10391,755,531,590,487,30997,9.388,31,4021,อุดรธานีที่ 1,อุดรธานี
2,203,มอจะบก - ไร่โคกสูง,103+438,10160,8799,88,99,371,1884,4223,4153,1920,1672,33370,37.275,2,2215,นครราชสีมาที่ 2,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,109+962,9627,9602,66,72,529,2091,2285,2226,2049,1400,29947,28.588,2,1405,นครราชสีมาที่ 2,นครราชสีมา
2,503,หินลาด - โนนสะอาด,374+669,9007,8875,187,202,975,4879,2414,2258,2175,2445,33418,31.329,89,2617,ขอนแก่นที่ 1,ขอนแก่น
2,201,มวกเหล็ก - บ่อทอง,58+015,8983,7788,918,1020,620,13351,3167,2792,2811,2192,43642,28.876,0,2892,นครราชสีมาที่ 2,นครราชสีมา
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),487+006,8809,5326,2117,859,794,5163,2014,1601,1615,1664,29962,28.524,631,3240,หนองคาย,หนองคาย
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),505+850,7305,3893,1872,845,846,2657,1843,1648,1173,1663,23745,33.769,967,4837,หนองคาย,หนองคาย
2,503,หินลาด - โนนสะอาด,365+007,5640,5233,262,99,859,3985,2575,2597,2489,2768,26507,42.962,33,3020,ขอนแก่นที่ 1,ขอนแก่น
2,302,ดอนหวาย - บ้านวัด,197+162,5144,4035,16,56,195,11450,1811,1564,1723,2519,28514,27.598,4,379,นครราชสีมาที่ 1,นครราชสีมา
2,204,ไร่โคกสูง - โคกกรวด,117+262,4443,2397,451,614,810,4299,1902,1574,1777,550,18817,38.407,22,1279,นครราชสีมาที่ 2,นครราชสีมา
2,601,โนนสะอาด - อุดรธานี,400+945,3619,1487,139,19,87,3911,668,499,471,704,11604,21.093,16,1220,อุดรธานีที่ 1,อุดรธานี
3,402,ศรีราชา - พัทยา,130+000,25766,18813,2981,467,1406,12778,3544,3321,3303,5189,77567,22.213,11,13134,ชลบุรีที่ 2,ชลบุรี
3,401,ชลบุรี - ศรีราชา,97+270,21904,13801,1971,222,289,18601,286,208,26,18,57327,1.829,14,8785,ชลบุรีที่ 2,ชลบุรี
3,401,ชลบุรี - ศรีราชา,111+000,19766,17777,460,145,234,20115,391,442,147,90,59567,2.433,6,6002,ชลบุรีที่ 2,ชลบุรี
3,602,บ้านสิ้ว - โพธิ์ทอง,324+400,13620,6312,51,75,90,21436,2661,1784,1048,164,47243,12.327,53,3718,จันทบุรี,จันทบุรี
3,403,พัทยา - พลูตาหลวง,175+000,13544,10789,1944,405,336,5772,1675,112,26,7,34611,7.401,10,7058,ชลบุรีที่ 2,ชลบุรี
3,501,พลูตาหลวง - มาบตาพุด,206+000,12811,6625,292,500,700,14189,1212,1289,1286,855,39761,14.695,16,7927,ระยอง,ระยอง
3,603,โพธิ์ทอง - บ้านพลิ้ว,340+000,12587,10117,30,53,33,16011,1900,489,249,315,41784,7.273,16,5017,จันทบุรี,จันทบุรี
3,300,หนองไม้แดง - ชลบุรี,91+767,11605,7888,818,774,2048,16443,127,5,2,0,39710,7.443,28,11499,ชลบุรีที่ 1,ชลบุรี
3,504,กะเฉด - นายายอาม,272+500,11191,1641,24,7,32,15195,955,548,465,456,30513,8.07,14,2738,ระยอง,ระยอง
3,104,บางตำหรุ - คลองด่าน,40+800,11115,4587,636,469,532,11315,3298,916,680,773,34321,19.43,228,5395,สมุทรปราการ,สมุทรปราการ
