ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,25+556,"22,176","8,681",11,458,"1,123","12,156",379,73,62,26,"45,145",4.698,142,10755,ขท.กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,"108,048","24,599","1,498","2,934","8,320","41,874","6,129","2,849",909,862,"198,022",11.111,235,12095,ขท.ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,"85,746","38,515","3,302","5,779","10,714","51,939","20,276","3,301","2,110","1,227","222,909",19.473,69,13854,ขท.ปทุมธานี,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,60+800,"31,322","26,783","7,831","2,846","3,528","8,246","7,409","8,442","7,291","7,198","110,896",33.107,0,1516,ขท.อยุธยา,พระนครศรีอยุธยา
1,302,ต่างระดับบางปะอิน - หนองแค,67+300,"35,261","21,318","8,753","2,341","3,479","17,126","16,146","10,703","10,827","9,738","135,692",39.231,0,1545,ขท.อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,"25,270","21,504",376,914,"3,146","31,421","4,627","6,756","7,949","7,314","109,277",28.099,46,2611,ขท.สระบุรี,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,"13,613","15,372","2,724","2,127","2,152","6,529","3,803","3,352","6,666","7,231","63,569",39.848,342,2889,ขท.สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,"8,592","6,658","2,276","3,184","2,244","6,376","4,695","3,406","4,072","3,640","45,143",47.053,280,5275,ขท.สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,"6,382","7,716","2,133",627,552,"2,193","1,592","1,409","2,108","1,444","26,156",29.561,139,1888,ขท.ลพบุรีที่ 1,สระบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,167+355,"6,610","3,158",233,17,86,"4,573",231,104,225,84,"15,321",4.876,25,2596,ขท.ลพบุรีที่ 1,ลพบุรี
1,504,โคกสำโรง - หนองม่วง,192+000,"4,952","1,790",68,42,122,"2,187",321,255,370,241,"10,348",13.056,3,1899,ขท.ลพบุรีที่ 1,ลพบุรี
