ลำดับที่,ปี,รูปแบบการขนส่ง,ปริมาณการขนส่ง,สัดส่วนการขนส่ง,การขนส่งในประเทศ,สัดส่วนขนส่งในประเทศ,,
1,2560,การขนส่งทางถนน,709.028,87.570,"131,170",87.985,,
2,2560,การขนส่งทางราง,10.162,1.255,"2,044",1.371,,
3,2560,การขนส่งทางน้ำ,90.429,11.169,"15,834",10.621,,
4,2560,การขนส่งทางอากาศ,0.055,0.007,35,0.023,,
5,2560,รวมทุกรูปแบบการขนส่ง,809.674,100,"149,083",100,,
6,2561,การขนส่งทางถนน,721.089,87.484,"134,735",87.904,,
7,2561,การขนส่งทางราง,10.297,1.249,"2,092",1.365,,
8,2561,การขนส่งทางน้ำ,92.810,11.260,"16,413",10.708,,
9,2561,การขนส่งทางอากาศ,0.056,0.007,36,0.023,,
10,2561,รวมทุกรูปแบบการขนส่ง,824.252,100,"153,276",100,,
11,2562,การขนส่งทางถนน,733.969,86.507,"138,512",87.794,,
12,2562,การขนส่งทางราง,10.440,1.230,"2,151",1.363,,
13,2562,การขนส่งทางน้ำ,103.983,12.256,"17,069",10.819,,
14,2562,การขนส่งทางอากาศ,0.057,0.007,37,0.023,,
15,2562,รวมทุกรูปแบบการขนส่ง,848.449,100,"157,769",100,,
16,2563,การขนส่งทางถนน,713.417,86.308,"132,172",87.513,,
17,2563,การขนส่งทางราง,11.014,1.332,"2,274",1.506,,
18,2563,การขนส่งทางน้ำ,102.111,12.353,"16,554",10.961,,
19,2563,การขนส่งทางอากาศ,0.048,0.006,31,0.021,,
20,2563,รวมทุกรูปแบบการขนส่ง,826.590,100,"151,031",100,,
21,2564,การขนส่งทางถนน,693.442,87.440,"128,472",88.548,,
22,2564,การขนส่งทางราง,10.287,1.297,"2,124",1.464,,
23,2564,การขนส่งทางน้ำ,89.302,11.261,"14,477",9.978,,
24,2564,การขนส่งทางอากาศ,0.021,0.003,14,0.010,,
25,2564,รวมทุกรูปแบบการขนส่ง,793.052,100,"145,087",100,,
26,2565,การขนส่งทางถนน,732.274,85.579,"135,666",86.701,,
27,2565,การขนส่งทางราง,11.645,1.361,"2,672",1.708,,
28,2565,การขนส่งทางน้ำ,111.706,13.055,"18,109",11.573,,
29,2565,การขนส่งทางอากาศ,0.045,0.005,29,0.019,,
30,2565,รวมทุกรูปแบบการขนส่ง,855.670,100,"156,476",100,,
