ลำดับที่,ปี,รูปแบบการเดินทาง,ปริมาณการเดินทาง,สัดส่วนการเดินทาง,หน่วยงานเจ้าของข้อมูล
1,2560,รถโดยสารระหว่างเมือง,371.21,37.23,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
2,2560,รถไฟ,34.95,3.51,การรถไฟแห่งประเทศไทย
3,2560,เครื่องบิน,28.66,2.87,บริษัท ท่าอากาศไทย จำกัด (มหาชน)
4,2560,เครื่องบิน,9.34,0.94,กรมท่าอากาศยาน
5,2560,รถยนต์ส่วนบุคคล,552.82,55.45,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
6,2560,การเดินทางระหว่างเมืองด้วยระบบขนส่งสาธารณะ,444.16,44.55,สำนักงานนโยบายและแผนการขนส่งและจราจร
7,2560,การเดินทางระหว่างเมืองด้วยรถยนต์ส่วนบุคคล,552.82,55.45,สำนักงานนโยบายและแผนการขนส่งและจราจร
8,2561,รถโดยสารระหว่างเมือง,380.01,36.50,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
9,2561,รถไฟ,30.00,2.88,การรถไฟแห่งประเทศไทย
10,2561,เครื่องบิน,29.65,2.85,บริษัท ท่าอากาศไทย จำกัด (มหาชน)
11,2561,เครื่องบิน,9.50,0.91,กรมท่าอากาศยาน
12,2561,รถยนต์ส่วนบุคคล,591.97,56.86,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
13,2561,การเดินทางระหว่างเมืองด้วยระบบขนส่งสาธารณะ,449.16,43.14,สำนักงานนโยบายและแผนการขนส่งและจราจร
14,2561,การเดินทางระหว่างเมืองด้วยรถยนต์ส่วนบุคคล,591.97,56.86,สำนักงานนโยบายและแผนการขนส่งและจราจร
15,2562,รถโดยสารระหว่างเมือง,396.18,36.50,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
16,2562,รถไฟ,37.21,3.43,การรถไฟแห่งประเทศไทย
17,2562,เครื่องบิน,28.59,2.63,บริษัท ท่าอากาศไทย จำกัด (มหาชน)
18,2562,เครื่องบิน,8.96,0.83,กรมท่าอากาศยาน
19,2562,รถยนต์ส่วนบุคคล,614.50,56.61,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
20,2562,การเดินทางระหว่างเมืองด้วยระบบขนส่งสาธารณะ,470.94,43.39,สำนักงานนโยบายและแผนการขนส่งและจราจร
21,2562,การเดินทางระหว่างเมืองด้วยรถยนต์ส่วนบุคคล,614.50,56.61,สำนักงานนโยบายและแผนการขนส่งและจราจร
22,2563,รถโดยสารระหว่างเมือง,247.03,29.29,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
23,2563,รถไฟ,23.36,2.77,การรถไฟแห่งประเทศไทย
24,2563,เครื่องบิน,15.38,1.82,บริษัท ท่าอากาศไทย จำกัด (มหาชน)
25,2563,เครื่องบิน,5.10,0.60,กรมท่าอากาศยาน
26,2563,รถยนต์ส่วนบุคคล,552.52,65.51,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
27,2563,การเดินทางระหว่างเมืองด้วยระบบขนส่งสาธารณะ,290.87,34.49,สำนักงานนโยบายและแผนการขนส่งและจราจร
28,2563,การเดินทางระหว่างเมืองด้วยรถยนต์ส่วนบุคคล,552.52,65.51,สำนักงานนโยบายและแผนการขนส่งและจราจร
29,2564,รถโดยสารระหว่างเมือง,111.15,15.16,สำนักงานนโยบายและแผนการขนส่งและจราจร (แบบจำลอง NAM ณ ปีฐาน 2560)
30,2564,รถไฟ,10.93,1.49,การรถไฟแห่งประเทศไทย
