Mode,Year,Value
Road,2013,581712
Railway,2013,347920
River,2013,12259
Sea,2013,20229
Air,2013,42586
Road,2014,457475
Railway,2014,365277
River,2014,10872
Sea,2014,20312
Air,2014,50256
Road,2015,437027
Railway,2015,379312
River,2015,12396
Sea,2015,28893
Air,2015,62624
Road,2016,412005
Railway,2016,395032
River,2016,15462
Sea,2016,29679
Air,2016,70663
Road,2017,399092
Railway,2017,418127
River,2017,14935
Sea,2017,33251
Air,2017,75881
Road,2018,472464
Railway,2018,432113
River,2018,16842
Sea,2018,32954
Air,2018,79194
Road,2019,743932
Railway,2019,438552
River,2019,13987
Sea,2019,39288
Air,2019,72239
Road,2020,404121
Railway,2020,297013
River,2020,6242
Sea,2020,11964
Air,2020,41997
Road,2021,272985
Railway,2021,183666
River,2021,3255
Sea,2021,9144
Air,2021,19334
Road,2022,295303
Railway,2022,340070
River,2022,4289
Sea,2022,26401
Air,2022,51546
Road,2023,405821
Railway,2023,498200
River,2023,43609
Sea,2023,35640
Air,2023,61351
Road,2024,362125
Railway,2024,550951
River,2024,46876
Sea,2024,39887
Air,2024,62857
Road,2025,344336
Railway,2025,555760
River,2025,96733
Sea,2025,43329
Air,2025,67041
