province,n_districts,population,schools,industrial_km2,P_passenger_trips_day,P_freight_trips_day
Amnat Charoen,7,224020,220,0.1,17742,773
Ang Thong,7,240014,28,3.2,19009,4446
Bangkok Metropolis,50,10853529,840,21.2,859600,54881
Bueng Kan,8,332792,147,0.8,26357,1843
Buri Ram,23,1082969,303,0.9,85771,4054
Chachoengsao,11,806135,47,33.8,63846,42820
Chai Nat,8,259521,23,1.3,20554,2215
Chaiyaphum,16,848361,184,1.8,67190,4454
Chanthaburi,10,489814,94,0.0,38793,1329
Chiang Mai,24,2011433,555,3.9,159306,10113
Chiang Rai,18,1217795,311,1.6,96449,5273
Chon Buri,11,2315786,164,152.4,183410,189341
Chumphon,8,489216,163,0.4,38746,1805
Kalasin,18,737919,404,0.5,58443,2575
Kamphaeng Phet,11,943333,455,15.7,74712,21366
Kanchanaburi,13,874826,385,1.9,69286,4684
Khon Kaen,26,1750544,943,5.8,138643,11760
Krabi,8,386615,117,0.6,30620,1824
Lampang,13,686852,250,9.8,54399,13617
Lamphun,8,433363,79,4.2,34322,6230
Loei,14,491047,99,0.0,38891,1354
Lop Buri,11,795179,67,1.8,62978,4282
Mae Hong Son,7,207778,218,0.0,16456,590
Maha Sarakham,13,723033,396,0.1,57264,2118
Mukdahan,7,410955,142,1.4,32548,2740
Nakhon Nayok,4,252795,23,0.1,20021,813
Nakhon Pathom,7,1093108,287,5.5,86574,9612
Nakhon Phanom,12,497808,411,0.0,39426,1388
Nakhon Ratchasima,32,2470912,284,10.3,195696,19117
Nakhon Sawan,15,903892,432,3.9,71588,7173
Nakhon Si Thammarat,23,1435808,452,2.2,113716,6539
Nan,15,474959,76,0.1,37617,1358
Narathiwat,13,677576,228,0.0,53664,1834
Nong Bua Lam Phu,6,489790,115,0.6,38791,2059
Nong Khai,9,430927,106,0.1,34129,1329
Nonthaburi,6,2179468,111,2.4,172614,8785
Pathum Thani,7,2599141,90,21.1,205852,32395
Pattani,12,617287,234,1.7,48889,3732
Phangnga,8,282744,163,0.5,22393,1311
Phatthalung,12,464096,171,0.0,36756,1268
Phayao,9,346485,84,0.3,27442,1317
Phetchabun,11,915002,468,0.2,72468,2704
Phetchaburi,8,511852,166,1.4,40539,3033
Phichit,12,524543,240,2.2,41544,4100
Phitsanulok,9,1051211,388,0.6,83256,3574
Phra Nakhon Si Ayutthaya,15,755531,113,38.6,59838,48475
Phrae,8,511665,82,0.4,40524,1840
Phuket,3,1100426,99,0.2,87154,3204
Prachin Buri,7,735630,60,34.6,58262,43620
Prachuap Khiri Khan,8,483592,244,6.0,38301,8494
Ranong,5,380386,71,0.3,30127,1361
Ratchaburi,10,802390,296,7.6,63549,11319
Rayong,8,1285256,137,139.8,101792,171432
Roi Et,20,936859,693,0.0,74199,2536
Sa Kaeo,9,630149,116,4.0,49908,6515
Sakon Nakhon,18,852313,352,0.3,67503,2668
Samut Prakan,6,3244845,162,45.7,256992,63724
Samut Sakhon,3,1687215,138,16.7,133627,24633
Samut Songkhram,3,167987,43,0.8,13305,1382
Saraburi,13,910857,45,33.3,72140,42467
Satun,7,302617,148,0.1,23967,975
Si Sa Ket,22,907136,277,0.5,71845,3008
Sing Buri,6,150251,21,1.7,11900,2434
Songkhla,17,1739760,415,7.1,137789,13263
Sukhothai,9,668360,339,0.8,52934,2726
Suphan Buri,10,835267,359,3.8,66153,6843
Surat Thani,19,1168446,191,1.8,92541,5330
Surin,17,948961,325,0.8,75158,3480
Tak,9,569921,311,2.9,45138,5045
Trang,10,598535,268,0.1,47404,1718
Trat,7,278444,30,0.1,22053,850
Ubon Ratchathani,25,1803952,446,0.5,142873,5502
Udon Thani,20,1123025,331,10.2,88944,15284
Uthai Thani,8,291009,206,0.5,23048,1360
Uttaradit,9,414154,80,0.1,32801,1232
Yala,8,451504,53,0.0,35759,1227
Yasothon,9,424147,356,0.0,33593,1174
